Episode: 80 || Reward: 142.19 || Actor Loss: -67.51 || Critic Loss: 1.14 || Log Prob: -32.48 || Alpha: 0.17 || Time/Update: 6.8ms || Total Steps: 12400 || Song: twinkle_twinkle_little_star
Episode: 81 || Reward: 119.8 || Actor Loss: -65.62 || Critic Loss: 1.08 || Log Prob: -32.44 || Alpha: 0.17 || Time/Update: 6.7ms || Total Steps: 12555 || Song: twinkle_twinkle_little_star
Episode: 82 || Reward: 120.05 || Actor Loss: -63.76 || Critic Loss: 1.03 || Log Prob: -32.42 || Alpha: 0.16 || Time/Update: 6.89ms || Total Steps: 12710 || Song: twinkle_twinkle_little_star
Episode: 83 || Reward: 125.08 || Actor Loss: -61.93 || Critic Loss: 1.0 || Log Prob: -32.4 || Alpha: 0.15 || Time/Update: 7.33ms || Total Steps: 12865 || Song: twinkle_twinkle_little_star
Episode: 84 || Reward: 115.47 || Actor Loss: -60.16 || Critic Loss: 0.94 || Log Prob: -32.34 || Alpha: 0.15 || Time/Update: 6.57ms || Total Steps: 13020 || Song: twinkle_twinkle_little_star
Episode: 85 || Reward: 131.79 || Actor Loss: -58.46 || Critic Loss: 0.91 || Log Prob: -32.29 || Alpha: 0.14 || Time/Update: 6.64ms || Total Steps: 13175 || Song: twinkle_twinkle_little_star
Episode: 86 || Reward: 142.25 || Actor Loss: -56.79 || Critic Loss: 0.86 || Log Prob: -32.27 || Alpha: 0.14 || Time/Update: 6.68ms || Total Steps: 13330 || Song: twinkle_twinkle_little_star
Episode: 87 || Reward: 129.55 || Actor Loss: -55.17 || Critic Loss: 0.82 || Log Prob: -32.2 || Alpha: 0.13 || Time/Update: 6.69ms || Total Steps: 13485 || Song: twinkle_twinkle_little_star
Episode: 88 || Reward: 139.11 || Actor Loss: -53.6 || Critic Loss: 0.79 || Log Prob: -32.17 || Alpha: 0.13 || Time/Update: 7.24ms || Total Steps: 13640 || Song: twinkle_twinkle_little_star
Episode: 89 || Reward: 138.93 || Actor Loss: -52.09 || Critic Loss: 0.75 || Log Prob: -32.1 || Alpha: 0.13 || Time/Update: 7.59ms || Total Steps: 13795 || Song: twinkle_twinkle_little_star
Episode: 90 || Reward: 135.8 || Actor Loss: -50.61 || Critic Loss: 0.71 || Log Prob: -32.08 || Alpha: 0.12 || Time/Update: 7.14ms || Total Steps: 13950 || Song: twinkle_twinkle_little_star
Episode: 91 || Reward: 144.01 || Actor Loss: -49.18 || Critic Loss: 0.68 || Log Prob: -32.0 || Alpha: 0.12 || Time/Update: 6.83ms || Total Steps: 14105 || Song: twinkle_twinkle_little_star
Episode: 92 || Reward: 135.1 || Actor Loss: -47.8 || Critic Loss: 0.65 || Log Prob: -31.91 || Alpha: 0.11 || Time/Update: 6.4ms || Total Steps: 14260 || Song: twinkle_twinkle_little_star
Episode: 93 || Reward: 129.86 || Actor Loss: -46.46 || Critic Loss: 0.61 || Log Prob: -31.88 || Alpha: 0.11 || Time/Update: 6.19ms || Total Steps: 14415 || Song: twinkle_twinkle_little_star
Episode: 94 || Reward: 143.93 || Actor Loss: -45.16 || Critic Loss: 0.59 || Log Prob: -31.78 || Alpha: 0.11 || Time/Update: 6.11ms || Total Steps: 14570 || Song: twinkle_twinkle_little_star
Episode: 95 || Reward: 152.4 || Actor Loss: -43.92 || Critic Loss: 0.56 || Log Prob: -31.69 || Alpha: 0.1 || Time/Update: 6.08ms || Total Steps: 14725 || Song: twinkle_twinkle_little_star
Episode: 96 || Reward: 146.16 || Actor Loss: -42.71 || Critic Loss: 0.54 || Log Prob: -31.64 || Alpha: 0.1 || Time/Update: 6.47ms || Total Steps: 14880 || Song: twinkle_twinkle_little_star
Episode: 97 || Reward: 129.47 || Actor Loss: -41.53 || Critic Loss: 0.52 || Log Prob: -31.57 || Alpha: 0.1 || Time/Update: 8.43ms || Total Steps: 15035 || Song: twinkle_twinkle_little_star
Episode: 98 || Reward: 146.39 || Actor Loss: -40.4 || Critic Loss: 0.49 || Log Prob: -31.41 || Alpha: 0.09 || Time/Update: 6.19ms || Total Steps: 15190 || Song: twinkle_twinkle_little_star
