Episode: 62 || Reward: 78.76 || Actor Loss: -95.11 || Critic Loss: 1.92 || Log Prob: -32.71 || Alpha: 0.28 || Time/Update: 7.01ms || Total Steps: 10292 || Song: twinkle_twinkle_little_star
Episode: 63 || Reward: 83.23 || Actor Loss: -92.59 || Critic Loss: 1.82 || Log Prob: -32.69 || Alpha: 0.27 || Time/Update: 7.03ms || Total Steps: 10458 || Song: twinkle_twinkle_little_star
Episode: 64 || Reward: 71.63 || Actor Loss: -90.06 || Critic Loss: 1.75 || Log Prob: -32.67 || Alpha: 0.26 || Time/Update: 7.06ms || Total Steps: 10624 || Song: twinkle_twinkle_little_star
Episode: 65 || Reward: 87.64 || Actor Loss: -87.56 || Critic Loss: 1.67 || Log Prob: -32.66 || Alpha: 0.25 || Time/Update: 6.9ms || Total Steps: 10790 || Song: twinkle_twinkle_little_star
Episode: 66 || Reward: 78.69 || Actor Loss: -85.07 || Critic Loss: 1.62 || Log Prob: -32.65 || Alpha: 0.24 || Time/Update: 6.83ms || Total Steps: 10956 || Song: twinkle_twinkle_little_star
Episode: 67 || Reward: 65.38 || Actor Loss: -82.6 || Critic Loss: 1.55 || Log Prob: -32.65 || Alpha: 0.23 || Time/Update: 6.79ms || Total Steps: 11122 || Song: twinkle_twinkle_little_star
Episode: 68 || Reward: 78.91 || Actor Loss: -80.18 || Critic Loss: 1.48 || Log Prob: -32.64 || Alpha: 0.22 || Time/Update: 6.74ms || Total Steps: 11288 || Song: twinkle_twinkle_little_star
Episode: 69 || Reward: 94.73 || Actor Loss: -77.79 || Critic Loss: 1.39 || Log Prob: -32.61 || Alpha: 0.21 || Time/Update: 6.93ms || Total Steps: 11454 || Song: twinkle_twinkle_little_star
Episode: 70 || Reward: 80.82 || Actor Loss: -75.46 || Critic Loss: 1.33 || Log Prob: -32.58 || Alpha: 0.2 || Time/Update: 7.01ms || Total Steps: 11620 || Song: twinkle_twinkle_little_star
Episode: 71 || Reward: 89.33 || Actor Loss: -73.17 || Critic Loss: 1.27 || Log Prob: -32.57 || Alpha: 0.2 || Time/Update: 6.77ms || Total Steps: 11786 || Song: twinkle_twinkle_little_star
Episode: 72 || Reward: 95.29 || Actor Loss: -70.92 || Critic Loss: 1.2 || Log Prob: -32.56 || Alpha: 0.19 || Time/Update: 6.78ms || Total Steps: 11952 || Song: twinkle_twinkle_little_star
Episode: 73 || Reward: 90.91 || Actor Loss: -68.72 || Critic Loss: 1.15 || Log Prob: -32.53 || Alpha: 0.18 || Time/Update: 6.79ms || Total Steps: 12118 || Song: twinkle_twinkle_little_star
